0,0.52203
1468.7,0.49096
2937.4,0.48406
4406.1,0.48798
5874.7,0.48585
7343.4,0.49154
8812.1,0.49819
10281,0.49474
11749,0.4963
13218,0.50039
14687,0.5013
16156,0.50273
17624,0.50236
19093,0.50073
20562,0.50703
22030,0.50574
23499,0.50524
24968,0.5082
26436,0.5079
27905,0.5095
29374,0.51715
30842,0.52096
32311,0.52746
33780,0.55148
35248,0.60737
36717,0.6612
38186,0.66887
39655,0.65559
41123,0.63947
42592,0.62138
44061,0.60276
45529,0.58325
46998,0.56421
48467,0.54605
49935,0.52851
51404,0.51173
52873,0.49532
54341,0.48013
55810,0.46525
57279,0.45116
58747,0.43786
60216,0.42494
61685,0.41294
63154,0.40105
64622,0.39013
66091,0.37948
67560,0.36933
69028,0.35958
70497,0.35007
71966,0.34117
73434,0.33245
74903,0.32403
76372,0.31606
77840,0.3084
79309,0.30106
80778,0.29416
82246,0.28737
83715,0.28092
85184,0.27454
86653,0.26843
88121,0.26253
89590,0.25692
91059,0.25141
92527,0.24604
93996,0.24096
95465,0.23601
96933,0.23128
98402,0.22672
99871,0.22227
1.0134e+05,0.21802
1.0281e+05,0.21376
1.0428e+05,0.20969
1.0575e+05,0.2057
1.0721e+05,0.20205
1.0868e+05,0.19661
1.1015e+05,0.19289
1.1162e+05,0.1896
1.1309e+05,0.18619
1.1456e+05,0.18274
1.1603e+05,0.17954
1.1749e+05,0.17646
1.1896e+05,0.17347
1.2043e+05,0.17051
1.219e+05,0.16766
1.2337e+05,0.1649
1.2484e+05,0.16219
1.2631e+05,0.15955
1.2778e+05,0.15701
1.2924e+05,0.15456
1.3071e+05,0.15233
1.3218e+05,0.15002
1.3365e+05,0.14807
1.3512e+05,0.14557
1.3659e+05,0.14343
1.3806e+05,0.14134
1.3953e+05,0.1393
1.4099e+05,0.13727
1.4246e+05,0.13528
1.4393e+05,0.13335
1.454e+05,0.13143
